country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",09-07-2026 20:00,22.248853,70.776774,CO,88,90,89
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",09-07-2026 20:00,22.248853,70.776774,OZONE,6,8,7
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",09-07-2026 20:00,21.217779,72.834787,NH3,1,2,1
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",09-07-2026 20:00,21.217779,72.834787,CO,39,45,41
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",09-07-2026 20:00,21.217779,72.834787,OZONE,4,5,4
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",09-07-2026 20:00,20.362421,72.918013,PM2.5,20,58,40
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",09-07-2026 20:00,22.969611,72.6435,SO2,3,18,10
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",09-07-2026 20:00,30.379589,76.778328,PM10,43,211,82
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",09-07-2026 20:00,28.6701,76.9254,SO2,5,7,6
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",09-07-2026 20:00,28.3419248,77.319699,CO,40,64,49
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",09-07-2026 20:00,28.611281,77.237738,PM2.5,8,28,14
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",09-07-2026 20:00,28.611281,77.237738,NH3,8,13,10
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",09-07-2026 20:00,28.611281,77.237738,OZONE,6,10,7
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",09-07-2026 20:00,28.710508,77.249485,PM10,2,83,15
India,Delhi,Delhi,"Bawana, Delhi - DPCC",09-07-2026 20:00,28.7762,77.051074,NO2,2,30,7
India,Delhi,Delhi,"Bawana, Delhi - DPCC",09-07-2026 20:00,28.7762,77.051074,SO2,3,4,4
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",09-07-2026 20:00,28.623763,77.287209,NO2,6,40,13
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",09-07-2026 20:00,28.623763,77.287209,NH3,8,11,9
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",09-07-2026 20:00,28.58028,77.233829,NH3,21,75,42
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",09-07-2026 20:00,28.6811736,77.3025234,SO2,11,26,18
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",09-07-2026 20:00,28.531346,77.190156,OZONE,19,28,23
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",09-07-2026 20:00,30.735567,76.775714,SO2,2,5,4
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",09-07-2026 20:00,30.719859,76.738637,PM2.5,2,25,13
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",09-07-2026 20:00,30.719859,76.738637,OZONE,2,5,4
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",09-07-2026 20:00,21.224231,81.40835,PM10,12,73,44
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",09-07-2026 20:00,22.08815,82.13737,CO,13,23,18
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",09-07-2026 20:00,22.118125,83.140608,NO2,3,10,6
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",09-07-2026 20:00,22.118125,83.140608,OZONE,43,47,45
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",09-07-2026 20:00,22.348441,82.549611,CO,20,29,24
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",09-07-2026 20:00,22.348441,82.549611,OZONE,2,2,2
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",09-07-2026 20:00,22.368195,82.746431,PM10,22,38,31
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",09-07-2026 20:00,22.368195,82.746431,CO,8,13,11
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",09-07-2026 20:00,28.530785,77.271255,NH3,6,19,10
India,Delhi,Delhi,"Rohini, Delhi - DPCC",09-07-2026 20:00,28.732528,77.11992,NO2,4,37,11
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",09-07-2026 20:00,28.672342,77.31526,NO2,19,56,31
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",09-07-2026 20:00,28.672342,77.31526,NH3,6,8,7
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",09-07-2026 20:00,28.672342,77.31526,SO2,7,8,8
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",09-07-2026 20:00,28.73282,77.170633,PM2.5,2,137,59
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",09-07-2026 20:00,28.73282,77.170633,NH3,1,7,5
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",09-07-2026 20:00,28.570173,76.933762,PM2.5,2,60,25
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",09-07-2026 20:00,28.570173,76.933762,SO2,7,12,8
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",09-07-2026 20:00,28.699793,77.165453,PM10,1,91,38
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",09-07-2026 20:00,28.699793,77.165453,SO2,8,10,9
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",09-07-2026 20:00,28.695381,77.181665,SO2,8,15,12
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",09-07-2026 20:00,22.1910172,83.5197009,PM10,13,59,30
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",09-07-2026 20:00,22.1910172,83.5197009,SO2,12,15,13
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",09-07-2026 20:00,21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",09-07-2026 20:00,21.219665,81.630094,SO2,1,6,3
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",09-07-2026 20:00,21.219665,81.630094,CO,16,26,22
India,Delhi,Delhi,"Pusa, Delhi - IITM",09-07-2026 20:00,28.63611,77.173332,NO2,34,49,41
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",09-07-2026 20:00,28.594169,77.1251,PM2.5,2,20,10
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",09-07-2026 20:00,28.594169,77.1251,PM10,4,76,25
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",09-07-2026 20:00,28.594169,77.1251,NO2,9,38,17
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",09-07-2026 20:00,23.107969,72.574648,SO2,4,18,11
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",09-07-2026 20:00,23.020509,72.579261,SO2,2,6,3
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",09-07-2026 20:00,23.041137,72.456691,NO2,2,10,3
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",09-07-2026 20:00,23.016834,72.625775,CO,67,103,82
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",09-07-2026 20:00,23.016834,72.625775,OZONE,4,7,6
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",09-07-2026 20:00,23.221714,72.654328,NO2,7,20,9
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",09-07-2026 20:00,23.163798,72.677768,OZONE,1,5,3
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",09-07-2026 20:00,28.060249,76.113115,CO,11,13,12
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",09-07-2026 20:00,28.1485564,77.3320667,NH3,6,8,8
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",09-07-2026 20:00,28.1485564,77.3320667,CO,15,63,39
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",09-07-2026 20:00,28.3153,76.9143,PM2.5,6,69,31
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",09-07-2026 20:00,28.3153,76.9143,NO2,15,41,26
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",09-07-2026 20:00,28.3153,76.9143,NH3,7,27,18
